state,median household income (dollars),per capita income (dollars)
Alabama,50536,27928
Alaska,77640,36787
Arizona,58945,30694
Arkansas,47597,26577
California,75235,36955
Colorado,72331,38226
Connecticut,78444,44496
Delaware,68287,35450
District of Columbia,86420,56147
Florida,55660,31619
Georgia,58700,31067
Hawaii,81275,35567
Idaho,55785,27970
Illinois,65886,36038
Indiana,56303,29777
Iowa,60523,32176
Kansas,59597,31814
Kentucky,50589,28178
Louisiana,49469,27923
Maine,57918,32637
Maryland,84805,42122
Massachusetts,81215,43761
Michigan,57144,31713
Minnesota,71306,37625
Mississippi,45081,24369
Missouri,55461,30810
Montana,54970,31151
Nebraska,61439,32302
Nevada,60365,31557
New Hampshire,76768,40003
New Jersey,82545,42745
New Mexico,49754,27230
New York,68486,39326
North Carolina,54602,30783
North Dakota,64894,36062
Ohio,56602,31552
Oklahoma,52919,28422
Oregon,62818,33763
Pennsylvania,61744,34352
Rhode Island,67167,36121
South Carolina,53199,29426
South Dakota,58275,30773
Tennessee,53320,29859
Texas,61874,31277
Utah,71621,29775
Vermont,61973,34577
Virginia,74222,39278
Washington,73775,38915
West Virginia,46711,26480
Wisconsin,61747,33375
Wyoming,64049,33366
